Year,Journal,Volume,Issue,Title,DOI,Evidentialist,Bayesian,Frequentist,Type,AIC,N,"
p",Rsquared,ChiSq,Gstatistic,Tstatistic,Fstatistic,dfnum,dfdenom,SSterm,SSres,Lreduced,Lfull,Ddeviance,OtherMeasures,Rationale,RationaleDetails,Notes,Person,Class,LR,CommentsHA,CommentsRE,Exclude
1999,CJFAS,56,2,Protective role of ascorbic acid against damage to male germ cells in rainbow trout (Oncorhynchus mykiss),https://doi.org/10.1139/f98-161,FALSE,FALSE,TRUE,,FALSE,,<0.001,0.87,,,,,,,,,,,,,FALSE,,n unclear,Sam, ,,,,
1999,CJFAS,56,2,Protective role of ascorbic acid against damage to male germ cells in rainbow trout (Oncorhynchus mykiss),https://doi.org/10.1139/f98-161,FALSE,FALSE,TRUE,,FALSE,,<0.01,0.96,,,,,,,,,,,,,FALSE,,n unclear,Sam,1,,,,
1999,CJFAS,56,2,Protective role of ascorbic acid against damage to male germ cells in rainbow trout (Oncorhynchus mykiss),https://doi.org/10.1139/f98-161,FALSE,FALSE,TRUE,,FALSE,,<0.01,0.99,,,,,,,,,,,,,FALSE,,n unclear,Sam,1,,,,
1999,CJFAS,56,2,Increase of heart rate without elevation of cardiac output in adult Atlantic salmon (Salmo salar) exposed to acidic water and aluminium,https://doi.org/10.1139/f98-168,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,,,,,,FALSE,,"F ratios used, but not reported",Sam,1,,,,
1999,CJFAS,56,2,Linear model analysis of net catch data using the negative binomial distribution,https://doi.org/10.1139/f98-150,,,,,,,,,,,,,,,,,,,,,,,stats paper (not applicable?),Sam,1,,,,
1999,CJFAS,56,2,Effect of winter food deprivation on growth and sexual maturity of Atlantic salmon (Salmo salar) in seawater,https://doi.org/10.1139/f98-165,FALSE,FALSE,TRUE,,FALSE,,,,,,,,,,,,,,,,FALSE,,t statistics used but not reported,Sam,1,,,,
1999,CJFAS,56,2,Effect of winter food deprivation on growth and sexual maturity of Atlantic salmon (Salmo salar) in seawater,https://doi.org/10.1139/f98-165,FALSE,FALSE,TRUE,,FALSE,,<0.01,,,10.53,,,,,,,,,,,FALSE,,2 df,Sam,1,,,,
1999,CJFAS,56,2,Effect of winter food deprivation on growth and sexual maturity of Atlantic salmon (Salmo salar) in seawater,https://doi.org/10.1139/f98-165,FALSE,FALSE,TRUE,,FALSE,,>0.05,,,1.20,,,,,,,,,,,FALSE,,,Sam,1,,,,
1999,CJFAS,56,2,Evaluating uncertainty in harvest control law catches using Bayesian Markov chain Monte Carlo virtual population analysis with adaptive rejection sampling and including structural uncertainty,https://doi.org/10.1139/f98-157,FALSE,TRUE,FALSE,,FALSE,,,,,,,,,,,,,,,,TRUE,,rationale given for Bayesian approach; but not in terms of preference over frequentist approach,Sam,1,,,,
1999,CJFAS,56,2,Larval fishes of a Middle Atlantic Bight estuary: assemblage structure and temporal stability,https://doi.org/10.1139/f98-175,FALSE,FALSE,TRUE,,FALSE,,0.0001,,,,,31.40,,,,,,,,,FALSE,,"no df given for F. R2 also reported, but no indication of sample sizes.",Sam,1,,,,
